Subject Number,duration (sec),Condition,IV1_Norm Transgression,IV2_Question Type,DV_Selection of Normal Cause? (0=no;1=yes),DV_Selection of Abnormal Cause? (0=no;1=yes),DV_CAUSAL JUDGMENT (1=only normal;2=only abnormal;3=both),Check 1a: What was used by Alex? (1=AX200;2=BY33;3=I don't know),Check 1b: What was used by Benni? (1=AX200;2=BY33;3=I don't know),Correct Answer Fertilizercheck if 1a=1 & 1b=2 (1=yes;0=no),Check 2a: Was AX200 allowed? (1=yes;2=no;3=I don't know),Check 2b: Was BY33 allowed? (1=yes;2=no;3=I don't know),Correct Answer Normcheck if 2a=1 & 2b=2 (1=yes;0=no) ,Check 3a: percentage of effects if only AX200 present,Check 3b: percentage of effects if only BY33 present,Check 3c: percentage of effects if both AX200 and BY33 present,Correct Answer MNC-Check if 3a<3c & 3b<3c (1=yes;0=no),"Correct Answer to all Checks 1, 2 & 3  (1=yes;0=no)",Gender (1=male;2=female;3=not specified),Age (years)
805,206,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,28
809,152,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,38
836,389,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,27
840,862,7,2,1,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,33
847,165,7,2,1,1,1,3,1,2,1,1,2,1,0,0,30,1,1,2,19
858,122,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,22
869,121,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,20
9,233,8,2,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,34
18,92,8,2,2,1,1,3,1,2,1,1,2,1,10,10,70,1,1,2,31
20,235,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,24
26,152,8,2,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,46
47,167,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,30
55,292,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,30
72,225,8,2,2,0,1,2,1,2,1,1,2,1,0,0,40,1,1,2,31
84,319,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,24
135,127,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,50
138,192,8,2,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,59
156,256,8,2,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,43
167,135,8,2,2,1,1,3,1,2,1,1,2,1,40,40,100,1,1,1,18
183,194,8,2,2,1,1,3,1,2,1,1,2,1,40,40,100,1,1,2,26
212,260,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,30
231,229,8,2,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,41
248,380,8,2,2,1,1,3,1,2,1,1,2,1,50,50,100,1,1,1,46
278,219,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,20
281,136,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,32
288,254,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,42
292,197,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,33
326,363,8,2,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,26
346,318,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,33
398,218,8,2,2,1,1,3,1,2,1,1,2,1,0,0,70,1,1,1,32
440,299,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,55
446,227,8,2,2,0,1,2,1,2,1,1,2,1,0,50,100,1,1,1,32
470,189,8,2,2,0,1,2,1,2,1,1,2,1,10,10,90,1,1,1,23
496,177,8,2,2,1,1,3,1,2,1,1,2,1,0,0,90,1,1,1,20
548,371,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,33
581,188,8,2,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,53
586,189,8,2,2,1,1,3,1,2,1,1,2,1,50,50,100,1,1,1,20
592,290,8,2,2,1,1,3,1,2,1,1,2,1,30,30,40,1,1,1,32
600,322,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,31
615,158,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,41
661,279,8,2,2,1,1,3,1,2,1,1,2,1,10,10,20,1,1,2,56
676,186,8,2,2,0,1,2,1,2,1,1,2,1,0,0,50,1,1,1,42
687,268,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,30
720,226,8,2,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,53
723,191,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,28
733,418,8,2,2,0,1,2,1,2,1,1,2,1,0,0,70,1,1,2,27
746,312,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,31
754,159,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,29
763,371,8,2,2,1,1,3,1,2,1,1,2,1,0,0,70,1,1,2,61
767,194,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,33
777,203,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,53
780,267,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,27
795,233,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,53
820,619,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,40
833,236,8,2,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,39
843,157,8,2,2,0,1,2,1,2,1,1,2,1,0,0,30,1,1,1,53
854,307,8,2,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,37
36,191,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,44
50,358,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,35
64,262,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,32
76,187,9,2,3,0,1,2,1,2,1,1,2,1,0,0,90,1,1,1,23
97,135,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,23
104,259,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,40
108,115,9,2,3,1,1,3,1,2,1,1,2,1,30,40,70,1,1,2,28
115,242,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,52
118,202,9,2,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,39
125,124,9,2,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,42
128,288,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,21
146,240,9,2,3,1,0,1,1,2,1,1,2,1,0,0,80,1,1,2,28
152,273,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,21
163,191,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,19
177,209,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,45
186,176,9,2,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,20
206,239,9,2,3,0,1,2,1,2,1,1,2,1,30,30,40,1,1,1,20
208,164,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,32
220,403,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,28
235,220,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,19
256,172,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,28
284,339,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,37
304,412,9,2,3,1,1,3,1,2,1,1,2,1,0,0,60,1,1,1,28
312,547,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,23
336,138,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,34
367,297,9,2,3,1,0,1,1,2,1,1,2,1,10,10,90,1,1,2,26
388,184,9,2,3,0,1,2,1,2,1,1,2,1,30,30,50,1,1,2,26
403,159,9,2,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,18
413,244,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,41
416,177,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,22
427,211,9,2,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,22
434,209,9,2,3,1,0,1,1,2,1,1,2,1,0,0,50,1,1,2,34
443,344,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,23
474,726,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,52
492,219,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,29
509,154,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,34
511,157,9,2,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,22
528,237,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,31
541,247,9,2,3,1,1,3,1,2,1,1,2,1,20,20,90,1,1,2,29
544,363,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,31
575,154,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,31
578,196,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,45
603,271,9,2,3,1,0,1,1,2,1,1,2,1,0,0,80,1,1,2,52
606,215,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,41
609,373,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,47
612,515,9,2,3,1,0,1,1,2,1,1,2,1,0,0,30,1,1,2,62
622,284,9,2,3,1,0,1,1,2,1,1,2,1,0,0,90,1,1,2,43
635,229,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,23
654,170,9,2,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,37
658,236,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,27
666,291,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,33
674,435,9,2,3,1,1,3,1,2,1,1,2,1,0,0,30,1,1,2,50
680,218,9,2,3,1,1,3,1,2,1,1,2,1,50,50,100,1,1,1,19
684,271,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,48
694,288,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,47
698,239,9,2,3,1,0,1,1,2,1,1,2,1,0,0,30,1,1,2,27
716,204,9,2,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,45
729,265,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,37
740,205,9,2,3,1,0,1,1,2,1,1,2,1,0,0,90,1,1,1,59
750,127,9,2,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,53
761,259,9,2,3,0,1,2,1,2,1,1,2,1,0,0,60,1,1,2,39
771,145,9,2,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,18
792,228,9,2,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,47
812,154,9,2,3,1,0,1,1,2,1,1,2,1,50,50,100,1,1,1,40
828,279,9,2,3,1,0,1,1,2,1,1,2,1,10,10,90,1,1,2,24
865,269,9,2,3,1,0,1,1,2,1,1,2,1,30,30,40,1,1,1,21
10,226,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,21
13,176,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,21
85,297,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,50
105,275,10,3,1,1,1,3,1,2,1,1,2,1,0,0,30,1,1,2,28
126,282,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,21
129,283,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,27
132,319,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,28
170,155,10,3,1,1,1,3,1,2,1,1,2,1,0,0,70,1,1,1,25
174,174,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,28
180,187,10,3,1,1,1,3,1,2,1,1,2,1,0,0,90,1,1,2,24
187,101,10,3,1,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,20
209,292,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,33
213,263,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,43
221,280,10,3,1,1,1,3,1,2,1,1,2,1,50,50,100,1,1,1,21
228,140,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,23
236,148,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,22
305,203,10,3,1,1,1,3,1,2,1,1,2,1,50,50,100,1,1,1,27
330,223,10,3,1,1,1,3,1,2,1,1,2,1,0,0,30,1,1,1,38
343,138,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,22
417,400,10,3,1,0,1,2,1,2,1,1,2,1,10,10,100,1,1,2,43
433,166,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,22
467,214,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,30
482,224,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,28
484,155,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,25
525,105,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,35
564,195,10,3,1,1,0,1,1,2,1,1,2,1,70,60,100,1,1,1,34
583,258,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,40
626,202,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,31
629,225,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,22
655,242,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,36
677,287,10,3,1,0,1,2,1,2,1,1,2,1,0,50,100,1,1,2,33
717,238,10,3,1,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,30
799,177,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,47
825,314,10,3,1,1,1,3,1,2,1,1,2,1,0,0,30,1,1,2,40
829,317,10,3,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,39
56,333,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,47
59,215,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,24
61,205,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,24
65,246,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,55
73,169,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,35
87,223,11,3,2,1,1,3,1,2,1,1,2,1,0,0,70,1,1,1,46
90,319,11,3,2,1,1,3,1,2,1,1,2,1,50,50,100,1,1,1,31
94,168,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,23
98,208,11,3,2,0,1,2,1,2,1,1,2,1,0,70,90,1,1,1,36
143,323,11,3,2,0,1,2,1,2,1,1,2,1,0,0,50,1,1,2,48
157,234,11,3,2,0,1,2,1,2,1,1,2,1,0,0,50,1,1,2,39
194,69,11,3,2,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,32
207,329,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,29
219,263,11,3,2,1,1,3,1,2,1,1,2,1,10,10,50,1,1,1,35
245,282,11,3,2,1,1,3,1,2,1,1,2,1,0,0,80,1,1,1,25
253,155,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,31
265,179,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,37
269,196,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,41
289,233,11,3,2,1,1,3,1,2,1,1,2,1,0,50,100,1,1,1,25
309,148,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,35
316,190,11,3,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,30
357,348,11,3,2,0,1,2,1,2,1,1,2,1,60,50,70,1,1,1,26
364,346,11,3,2,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,54
410,273,11,3,2,0,1,2,1,2,1,1,2,1,0,0,80,1,1,1,27
421,194,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,25
424,428,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,49
447,302,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,45
454,271,11,3,2,1,1,3,1,2,1,1,2,1,50,30,70,1,1,1,25
457,290,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,39
479,103,11,3,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,25
487,145,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,32
490,211,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,22
503,232,11,3,2,1,1,3,1,2,1,1,2,1,30,30,40,1,1,2,38
507,186,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,40
533,280,11,3,2,1,0,1,1,2,1,1,2,1,50,0,100,1,1,1,24
568,153,11,3,2,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,39
576,180,11,3,2,1,1,3,1,2,1,1,2,1,0,0,90,1,1,2,36
597,188,11,3,2,1,1,3,1,2,1,1,2,1,50,50,100,1,1,1,21
610,176,11,3,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,44
616,145,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,21
623,179,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,32
636,103,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,38
667,297,11,3,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,32
671,248,11,3,2,1,1,3,1,2,1,1,2,1,0,0,80,1,1,2,20
681,196,11,3,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,28
688,261,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,24
696,175,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,23
706,148,11,3,2,0,1,2,1,2,1,1,2,1,0,0,40,1,1,2,22
713,257,11,3,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,35
721,309,11,3,2,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,29
726,287,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,61
730,191,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,56
734,449,11,3,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,34
747,256,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,21
755,180,11,3,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,18
759,512,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,23
772,878,11,3,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,31
789,424,11,3,2,0,1,2,1,2,1,1,2,1,0,0,90,1,1,2,18
806,134,11,3,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,19
816,184,11,3,2,0,1,2,1,2,1,1,2,1,0,0,30,1,1,1,18
851,140,11,3,2,1,1,3,1,2,1,1,2,1,0,0,70,1,1,1,22
855,453,11,3,2,1,1,3,1,2,1,1,2,1,50,50,100,1,1,2,47
859,135,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,30
866,354,11,3,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,42
24,228,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,28
33,337,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,42
37,317,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,52
69,164,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,26
77,291,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,59
81,335,12,3,3,1,1,3,1,2,1,1,2,1,0,0,50,1,1,2,20
101,311,12,3,3,1,1,3,1,2,1,1,2,1,0,0,30,1,1,1,31
109,139,12,3,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,18
112,207,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,33
198,217,12,3,3,1,1,3,1,2,1,1,2,1,30,30,40,1,1,1,32
242,190,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,36
262,400,12,3,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,21
276,432,12,3,3,0,1,2,1,2,1,1,2,1,0,50,100,1,1,1,45
285,304,12,3,3,1,1,3,1,2,1,1,2,1,0,0,30,1,1,1,57
293,211,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,23
334,112,12,3,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,24
337,411,12,3,3,1,0,1,1,2,1,1,2,1,50,50,100,1,1,-77,-66
341,452,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,30
347,605,12,3,3,1,0,1,1,2,1,1,2,1,0,0,50,1,1,1,27
351,290,12,3,3,1,0,1,1,2,1,1,2,1,0,0,70,1,1,1,41
372,369,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,38
379,235,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,22
386,303,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,69
389,232,12,3,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,48
395,263,12,3,3,0,1,2,1,2,1,1,2,1,10,10,70,1,1,1,20
404,344,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,37
407,473,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,54
428,245,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,31
441,338,12,3,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,29
471,322,12,3,3,1,1,3,1,2,1,1,2,1,50,50,100,1,1,1,29
512,223,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,47
529,340,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,25
535,241,12,3,3,1,0,1,1,2,1,1,2,1,0,0,80,1,1,2,48
549,249,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,37
556,123,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,40
560,310,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,30
579,119,12,3,3,1,0,1,1,2,1,1,2,1,10,10,80,1,1,2,29
593,329,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,30
601,150,12,3,3,1,1,3,1,2,1,1,2,1,30,20,50,1,1,1,21
613,287,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,24
632,203,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,29
652,134,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,29
699,250,12,3,3,1,1,3,1,2,1,1,2,1,0,0,50,1,1,1,32
702,339,12,3,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,56
737,537,12,3,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,26
744,359,12,3,3,1,0,1,1,2,1,1,2,1,30,30,40,1,1,1,25
751,252,12,3,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,21
764,133,12,3,3,1,1,3,1,2,1,1,2,1,0,0,70,1,1,1,31
781,232,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,41
796,174,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,32
813,189,12,3,3,1,1,3,1,2,1,1,2,1,0,0,80,1,1,1,33
844,378,12,3,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,47
74,131,1,0,1,1,1,3,1,2,1,1,1,0,0,0,100,1,0,1,23
144,174,1,0,1,1,1,3,1,2,1,1,1,0,0,0,70,1,0,1,30
154,272,1,0,1,1,1,3,1,2,1,1,1,0,0,0,30,1,0,2,22
165,382,1,0,1,1,1,3,1,2,1,1,2,1,0,50,30,0,0,1,26
168,325,1,0,1,1,1,3,1,3,0,1,2,1,0,0,100,1,0,1,29
202,355,1,0,1,0,1,2,1,2,1,1,2,1,0,100,0,0,0,2,28
239,94,1,0,1,1,1,3,1,2,1,1,1,0,50,0,100,1,0,1,23
246,200,1,0,1,1,1,3,2,2,0,1,2,1,10,10,40,1,0,2,48
266,121,1,0,1,1,1,3,1,2,1,1,1,0,50,50,100,1,0,1,27
294,126,1,0,1,1,1,3,1,2,1,1,2,1,50,100,100,0,0,2,26
365,115,1,0,1,1,1,3,1,2,1,1,2,1,50,0,50,0,0,2,25
377,237,1,0,1,0,1,2,1,2,1,1,2,1,0,100,100,0,0,2,33
393,188,1,0,1,1,1,3,1,2,1,3,3,0,30,30,30,0,0,1,32
418,272,1,0,1,0,1,2,3,3,0,3,3,0,0,0,100,1,0,1,51
429,184,1,0,1,0,1,2,1,2,1,1,2,1,0,100,100,0,0,1,21
468,197,1,0,1,1,1,3,3,3,0,1,1,0,0,0,100,1,0,1,31
546,121,1,0,1,0,1,2,1,2,1,1,2,1,0,100,50,0,0,1,37
573,101,1,0,1,1,1,3,1,2,1,1,2,1,50,50,50,0,0,2,41
637,152,1,0,1,1,0,1,1,1,0,1,1,0,70,70,90,1,0,2,19
659,161,1,0,1,1,1,3,1,2,1,1,1,0,0,0,100,1,0,2,57
727,195,1,0,1,0,1,2,1,2,1,1,2,1,0,30,30,0,0,2,49
817,469,1,0,1,1,0,1,2,3,0,3,3,0,20,30,30,0,0,1,40
819,159,1,0,1,1,1,3,2,1,0,1,2,1,0,0,40,1,0,2,22
34,220,2,0,2,0,1,2,1,2,1,1,2,1,30,30,30,0,0,2,32
106,155,2,0,2,1,1,3,1,2,1,1,1,0,0,0,100,1,0,1,20
210,160,2,0,2,0,1,2,1,2,1,1,2,1,0,100,50,0,0,2,41
233,122,2,0,2,1,1,3,1,2,1,1,1,0,0,0,100,1,0,2,21
270,207,2,0,2,1,1,3,2,1,0,1,2,1,0,0,100,1,0,2,27
290,405,2,0,2,0,1,2,1,2,1,1,1,0,30,0,100,1,0,2,29
327,60,2,0,2,0,1,2,2,1,0,1,1,0,60,70,70,0,0,2,27
497,304,2,0,2,1,1,3,1,2,1,1,1,0,0,0,100,1,0,3,23
501,301,2,0,2,1,0,1,1,2,1,2,3,0,40,60,90,1,0,1,29
526,230,2,0,2,1,1,3,1,2,1,1,1,0,0,0,100,1,0,2,30
543,193,2,0,2,1,1,3,1,2,1,1,1,0,0,0,100,1,0,1,32
607,148,2,0,2,0,1,2,1,2,1,1,2,1,60,80,70,0,0,2,26
682,193,2,0,2,1,1,3,1,2,1,1,1,0,0,0,30,1,0,2,19
752,359,2,0,2,1,0,1,2,1,0,1,2,1,60,30,30,0,0,1,34
807,72,2,0,2,0,1,2,3,3,0,3,3,0,50,50,50,0,0,-77,-66
810,187,2,0,2,1,1,3,1,2,1,3,3,0,0,0,100,1,0,2,36
856,238,2,0,2,1,1,3,1,2,1,1,1,0,0,0,30,1,0,2,28
867,164,2,0,2,0,1,2,1,2,1,1,2,1,0,50,50,0,0,2,52
8,261,3,0,3,1,1,3,1,1,0,1,1,0,100,100,0,0,0,-77,-66
48,375,3,0,3,0,1,2,1,2,1,1,2,1,100,0,0,0,0,2,47
57,89,3,0,3,0,1,2,2,1,0,2,3,0,40,60,70,1,0,1,25
82,746,3,0,3,1,0,1,1,2,1,3,3,0,30,50,70,1,0,1,18
91,382,3,0,3,0,1,2,1,2,1,1,2,1,70,60,30,0,0,1,20
123,143,3,0,3,1,1,3,1,2,1,1,1,0,0,0,100,1,0,1,39
